trade_id,signal_type,is_long,is_trend,signal_bar,signal_ts,entry_bar,entry_ts,entry_price,sl,tp,stop_dist,atr_at_entry,exit_bar,exit_ts,exit_price,exit_reason,trail_stage,bars_held,real_pl
42,Trend Short,False,True,1468,1722434400000,1469,1722436200000,66132.01,66307.82560795175,65428.74756819297,175.81560795175497,293.02601325292494,1469,1722436200000,66307.82560795175,SL,0,0,-208.88161295175027
43,Trend Short,False,True,1491,1722475800000,1492,1722477600000,64202.0,64456.588963275,63183.64414690001,254.58896327499764,424.31493879166277,1493,1722479400000,64016.0,SL,0,1,153.899
44,Trend Short,False,True,1518,1722524400000,1519,1722526200000,62984.0,63211.70898772298,62073.164049108076,227.70898772298088,379.5149795383015,1520,1722528000000,62907.44,SL,1,1,45.06799999999767
45,Trend Short,False,True,1540,1722564000000,1541,1722565800000,63970.02,64254.457550406296,62832.26979837479,284.43755040630066,474.0625840105011,1541,1722565800000,64254.457550406296,SL,0,0,-316.4225604062991
46,Trend Short,False,True,1548,1722578400000,1549,1722580200000,63870.01,64117.85426557009,62878.63293771965,247.84426557008678,413.07377595014464,1549,1722580200000,64117.85426557009,SL,0,0,-279.77927057008554
47,Trend Short,False,True,1578,1722632400000,1579,1722634200000,61660.87,62012.810230844305,60253.10907662281,351.9402308442989,586.5670514071649,1579,1722634200000,62012.810230844305,SL,0,0,-382.7706658443023
48,Trend Short,False,True,1585,1722645000000,1586,1722646800000,61132.01,61474.9141972052,59760.393211179195,342.9041972052025,571.5069953420042,1587,1722648600000,61193.24,SL,1,1,-91.79600499999593
49,Trend Short,False,True,1614,1722697200000,1615,1722699000000,61567.6,61739.17383023006,60881.304679079774,171.5738302300561,285.9563837167602,1615,1722699000000,60881.304679079774,TP,0,0,655.5115209202241
50,Trend Short,False,True,1621,1722709800000,1622,1722711600000,60243.97,60487.87004868632,59268.36980525471,243.900048686322,406.50008114387003,1623,1722713400000,60001.30001622877,SL,0,1,212.54799877122946
51,Trend Short,False,True,1647,1722756600000,1648,1722758400000,60374.0,60540.79008985638,59706.83964057448,166.79008985638052,277.98348309396755,1649,1722760200000,60432.86,SL,1,1,-89.04700000000058
52,Trend Short,False,True,1663,1722785400000,1664,1722787200000,59086.01,59288.381537934765,58276.52384826096,202.37153793476082,337.28589655793473,1664,1722787200000,59288.381537934765,SL,0,0,-231.91454293476318
53,Trend Short,False,True,1665,1722789000000,1666,1722790800000,58663.9,58877.04248934171,57811.33004263318,213.14248934170692,355.2374822361782,1667,1722792600000,58195.8,SL,4,1,438.76804999999854
54,Trend Short,False,True,1810,1723050000000,1811,1723051800000,55726.9,56030.94460799073,54510.721568037094,304.04460799072734,506.7410133178789,1812,1723053600000,55570.59,SL,2,1,128.44655000000495
